[14-Jun-2025 22:41:06 Asia/Shanghai] PHP Warning:  PDO::exec(): MySQL server has gone away in O:\panzuowen\arbitrary\phpmyadmin522\ajax_ai_generate.php on line 209
[14-Jun-2025 22:41:06 Asia/Shanghai] PHP Warning:  PDO::exec(): Error reading result set's header in O:\panzuowen\arbitrary\phpmyadmin522\ajax_ai_generate.php on line 209
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('披萨', '主食', 89.00, '经典意大利风味披萨，搭配多种芝士和酱料。', '2023-03-01 12:00:00', '2023-03-02 15:30:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('蛋挞', '甜品', 12.00, '葡式风味蛋挞，酥脆香浓。', '2023-03-03 09:15:00', '2023-03-04 11:15:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('烤鱼', '烧烤', 68.00, '香辣烤鱼，配以豆芽和青椒。', '2023-03-03 10:30:00', '2023-03-04 12:30:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('奶茶(无糖)', '饮品', 14.00, '完全无糖的经典奶茶。', '2023-03-03 11:45:00', '2023-03-04 13:45:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('牛排(半熟)', '西餐', 218.00, '半熟牛排，保持肉汁最佳状态。', '2023-03-03 12:30:00', '2023-03-04 14:30:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('烤鸡翅', '小吃', 25.00, '香辣烤制鸡翅，适合聚会分享。', '2023-03-03 13:15:00', '2023-03-04 15:15:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('豆腐脑', '早餐', 8.00, '嫩滑豆腐脑，配以酱油卤汁。', '2023-03-03 14:45:00', '2023-03-04 16:45:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('椰子冻', '甜品', 22.00, '清新的椰子果冻，夏日必备。', '2023-03-03 15:30:00', '2023-03-04 17:30:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('凉皮', '小吃', 15.00, '陕西特色凉皮，酸辣开胃。', '2023-03-03 16:15:00', '2023-03-04 18:15:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('果冻', '甜品', 8.00, 'QQ弹弹的多种水果味果冻。', '2023-03-03 17:45:00', '2023-03-04 19:45:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('咖啡(拿铁)', '饮品', 32.00, '经典拿铁咖啡，牛奶与咖啡完美融合。', '2023-03-03 18:30:00', '2023-03-04 20:30:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('羊肉串', '烧烤', 28.00, '新疆特色羊肉串，炭火烤制。', '2023-03-03 19:15:00', '2023-03-04 21:15:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('花卷', '早餐', 5.00, '蓬松柔软的北方花卷。', '2023-03-03 20:45:00', '2023-03-04 22:45:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('泡面', '方便食品', 8.00, '经典红烧牛肉口味泡面。', '2023-03-03 21:30:00', '2023-03-04 23:30:00',
[14-Jun-2025 22:44:20 Asia/Shanghai] PHP Fatal error:  Maximum execution time of 300 seconds exceeded in O:\panzuowen\arbitrary\phpmyadmin522\api_config.php on line 141
[14-Jun-2025 22:46:37 Asia/Shanghai] PHP Fatal error:  Maximum execution time of 300 seconds exceeded in O:\panzuowen\arbitrary\phpmyadmin522\api_config.php on line 141
